id,swipe
0,r
1,r
2,r
3,r
4,r
5,r
6,r
7,r
8,r
9,r
10,l
11,l
12,r
13,r
14,r
15,r
16,r
17,r
18,r
19,r
20,r
21,r
22,r
23,l
24,l
25,r
26,r
27,r
28,l
29,r
30,r
31,r
32,r
33,l
34,l
35,r
36,r
37,r
38,l
39,r
40,r
41,r
42,r
43,r
44,r
45,l
46,r
47,l
48,r
49,l
50,l
51,r
52,l
53,r
54,r
55,r
56,r
57,l
58,r
59,l
60,l
61,r
62,l
63,r
64,l
65,r
66,l
67,r
68,r
69,r
70,r
71,r
72,r
73,r
74,l
75,r
76,r
77,l
78,r
79,r
80,r
81,r
82,r
83,r
84,l
85,r
86,r
87,r
88,l
89,l
90,r
91,r
92,r
93,l
94,r
95,r
96,r
97,l
98,l
99,r
100,r
101,r
102,r
103,r
104,r
105,l
106,r
107,r
108,r
109,l
110,r
111,r
112,l
113,r
114,r
115,r
116,r
117,r
118,r
119,r
120,r
121,r
122,r
123,r
124,r
125,r
126,r
127,r
128,r
129,r
130,l
131,r
132,r
133,r
134,r
135,l
136,r
137,r
138,r
139,l
140,r
141,r
142,r
143,r
144,r
145,r
146,r
147,r
148,r
149,l
150,r
151,r
152,l
153,r
154,l
155,r
156,l
157,r
158,r
159,l
160,r
161,r
162,l
163,r
164,r
165,l
166,r
167,r
168,r
169,r
170,l
171,r
172,r
173,r
174,r
175,r
176,r
177,r
178,r
179,l
180,r
181,r
182,l
183,l
184,l
185,r
186,r
187,r
188,r
189,r
190,l
191,r
192,r
193,l
194,r
195,r
196,r
197,r
198,r
199,r
200,r
201,r
202,r
203,r
204,r
205,r
206,r
207,r
208,r
209,r
210,r
211,r
212,r
213,r
214,r
215,r
216,r
217,r
218,r
219,r
220,r
221,r
222,r
223,r
224,r
225,r
226,r
227,r
228,r
229,r
230,r
231,r
232,r
233,r
234,r
235,l
236,r
237,r
238,r
239,r
240,r
241,r
242,r
243,r
244,r
245,r
246,r
247,r
248,r
249,r
250,r
251,r
252,r
253,r
254,r
255,r
256,r
257,r
258,r
259,r
260,r
261,r
262,r
263,r
264,r
265,r
266,r
267,r
268,r
269,r
270,r
271,r
272,l
273,r
274,r
275,r
276,r
277,l
278,r
279,r
280,r
281,r
282,l
283,r
284,l
285,l
286,l
287,r
288,r
289,r
290,r
291,r
292,l
293,r
294,r
295,r
296,r
297,r
298,r
299,l
300,r
301,r
302,l
303,l
304,r
305,r
306,r
307,r
308,r
309,l
310,r
311,r
312,r
313,r
314,r
315,r
316,r
317,r
318,r
319,r
320,r
321,r
322,r
323,r
324,r
