id,swipe
0,r
1,l
2,r
3,r
4,r
5,r
6,l
7,l
8,l
9,r
10,l
11,l
12,l
13,r
14,r
15,l
16,r
17,r
18,r
19,r
20,r
21,r
22,r
23,r
24,l
25,l
26,l
27,r
28,l
29,l
30,r
31,r
32,l
33,r
34,l
35,r
36,r
37,r
38,l
39,r
40,r
41,r
42,l
43,r
44,r
45,l
46,r
47,l
48,r
49,l
50,l
51,r
52,l
53,r
54,l
55,r
56,r
57,l
58,l
59,l
60,l
61,r
62,r
63,r
64,l
65,l
66,l
67,r
68,l
69,r
70,l
71,l
72,r
73,l
74,l
75,r
76,r
77,l
78,l
79,r
80,r
81,l
82,l
83,l
84,l
85,l
86,r
87,r
88,r
89,l
90,l
91,l
92,r
93,l
94,l
95,r
96,r
97,l
98,l
99,r
100,r
101,r
102,l
103,r
104,r
105,r
106,l
107,l
108,r
109,r
110,l
111,r
112,l
113,r
114,l
115,r
116,l
117,r
118,r
119,l
120,l
121,r
122,r
123,l
124,r
125,l
126,l
127,r
128,l
129,r
130,l
131,r
132,l
133,l
134,l
135,l
136,r
137,r
138,l
139,l
140,l
141,l
142,l
143,r
144,l
145,l
146,l
147,r
148,r
149,l
150,r
151,l
152,l
153,r
154,l
155,l
156,l
157,r
158,l
159,r
160,r
161,l
162,l
163,r
164,r
165,l
166,r
167,r
168,l
169,l
170,l
171,l
172,r
173,l
174,r
175,r
176,l
177,r
178,r
179,l
180,r
181,l
182,l
183,l
184,l
185,r
186,r
187,l
188,l
189,l
190,l
191,l
192,l
193,l
194,r
195,l
196,r
197,r
198,l
199,r
200,l
201,l
202,l
203,l
204,l
205,l
206,r
207,l
208,l
209,l
210,l
211,r
212,l
213,l
214,r
215,l
216,l
217,r
218,r
219,l
220,l
221,l
222,l
223,r
224,l
225,l
226,r
227,l
228,r
229,r
230,r
231,l
232,r
233,l
234,r
235,l
236,r
237,r
238,l
239,r
240,l
241,r
242,r
243,l
244,r
245,r
246,l
247,r
248,r
249,l
250,l
251,r
252,l
253,r
254,r
255,l
256,r
257,l
258,r
259,l
260,r
261,r
262,r
263,l
264,l
265,r
266,r
267,l
268,r
269,l
270,l
271,r
272,l
273,r
274,l
275,l
276,r
277,l
278,r
279,l
280,l
281,r
282,l
283,r
284,l
285,r
286,l
287,r
288,r
289,l
290,l
291,l
292,l
293,r
294,l
295,r
296,l
297,r
298,l
299,l
300,r
301,r
302,r
303,r
304,r
305,r
306,r
307,r
308,r
309,l
310,r
311,r
312,l
313,l
314,r
315,r
316,l
317,r
318,r
319,r
320,l
321,r
322,l
323,r
324,r
325,l
326,l
327,r
328,r
329,l
330,r
331,r
332,r
333,l
334,r
335,l
336,l
337,r
338,l
339,l
340,l
341,l
342,r
343,l
344,l
345,r
346,r
347,r
348,l
349,l
350,r
351,l
352,r
353,l
354,l
355,l
356,r
357,r
358,r
359,r
360,l
361,r
362,l
363,l
364,l
365,l
366,l
367,l
368,r
369,l
370,r
371,r
372,l
373,l
374,r
375,r
376,r
377,r
378,l
379,l
380,l
381,r
382,l
383,r
384,l
385,r
386,r
387,l
388,l
389,r
390,l
391,l
392,l
393,l
394,r
395,r
396,l
397,l
398,r
399,l
400,r
401,l
402,l
403,r
404,r
405,r
406,r
407,r
408,l
409,l
410,l
411,l
412,l
413,r
414,r
415,r
416,r
417,r
418,l
419,l
420,r
421,l
422,l
423,l
424,r
425,r
426,l
427,r
428,r
429,l
430,r
431,l
432,l
433,r
434,r
435,l
436,l
437,r
438,r
439,l
440,r
441,l
442,l
443,l
444,r
445,l
446,l
447,r
448,l
449,r
450,l
451,r
452,r
453,l
454,l
455,l
456,r
457,l
458,l
459,l
460,l
461,r
462,l
463,l
464,r
465,l
466,r
467,r
468,r
469,r
470,r
471,r
472,l
473,l
474,l
475,l
476,l
477,r
478,r
479,r
480,l
481,r
482,r
483,r
484,l
485,l
486,l
487,l
488,l
489,r
490,r
491,l
492,r
493,l
494,r
495,r
496,r
497,r
498,l
499,r
500,l
501,l
502,l
503,r
504,l
505,l
506,r
507,l
508,l
509,r
510,l
511,l
512,l
513,l
514,l
515,r
516,r
517,l
518,r
519,r
520,r
521,r
522,l
523,l
524,l
525,l
526,l
527,l
528,r
529,l
530,l
531,l
532,l
533,r
534,l
535,l
536,r
537,l
538,l
539,r
540,l
541,l
542,l
543,l
544,l
545,r
546,l
547,l
548,r
549,l
550,l
551,l
552,l
553,r
554,l
555,l
556,r
557,l
558,l
559,l
560,l
561,r
562,r
563,l
564,l
565,r
566,l
567,r
568,l
569,l
570,r
571,r
572,r
573,l
574,l
575,r
576,l
577,r
578,r
579,r
580,r
581,r
582,r
583,r
584,l
585,r
586,l
587,r
588,r
589,r
590,r
591,l
592,l
593,l
594,r
595,l
596,l
597,l
598,l
599,r
600,l
601,r
602,l
603,r
604,l
605,l
606,l
607,l
608,l
609,l
610,l
611,l
612,r
613,l
614,r
615,r
616,l
617,l
618,r
619,l
620,l
621,l
622,l
623,l
624,l
625,l
626,l
627,l
628,r
629,r
630,r
631,r
632,l
633,r
634,l
635,l
636,r
637,l
638,l
639,l
640,l
641,l
642,l
643,l
644,l
645,r
646,r
647,l
648,l
649,r
650,r
651,r
652,l
653,r
654,l
655,r
656,r
657,r
658,l
659,l
660,l
661,l
662,l
663,l
664,r
665,l
666,l
667,r
668,l
669,l
670,l
671,r
672,r
673,l
674,r
675,l
676,l
677,r
678,l
679,r
680,r
681,l
682,l
683,l
684,r
685,l
686,r
687,r
688,r
689,l
690,l
691,l
692,r
693,r
694,r
695,l
696,r
697,r
698,r
699,r
700,r
701,l
702,l
703,l
704,r
705,r
706,l
707,l
708,l
709,l
710,l
711,l
712,l
713,l
714,l
715,r
716,r
717,l
718,l
719,r
720,l
721,r
722,r
723,l
724,l
725,l
726,l
727,l
728,r
729,r
730,r
731,l
732,l
733,l
734,l
735,l
736,l
737,r
738,l
739,r
740,l
741,l
742,l
743,l
744,r
745,l
746,l
747,l
748,l
749,r
750,l
751,l
752,l
753,l
754,r
755,l
756,l
757,r
758,l
759,l
760,l
761,l
762,r
763,l
764,r
765,r
766,l
767,l
768,r
769,r
770,l
771,l
772,r
773,r
774,l
775,l
776,l
777,l
778,l
779,l
780,l
781,l
782,l
