id,human,subject_ambiguous,"race_(b,w,a,l,m,o)",kids,dog,cat,slutty,heavy_makeup,age_in_decades,large_breasts,fat,straight_hair,blonde_hair,short_hair,religion,filter,can_see_face
2,1,0,w,0,0,0,0,1,2,0,0,1,0,0,0,1,1
6,1,0,w,0,0,0,0,0,2,0,1,1,0,1,0,0,1
10,1,0,l,0,0,0,0,1,2,0,0,0,0,0,0,0,1
14,1,0,w,0,0,0,0,0,2,0,0,1,0,0,0,0,1
18,1,0,l,0,0,0,0,1,2,0,0,1,0,0,0,0,1
22,1,1,,,,,,,,,,,,,,,
26,1,0,o,0,0,0,1,0,2,1,1,0,0,0,0,0,1
30,1,0,w,0,0,0,0,1,2,0,0,1,0,0,0,0,1
34,0,,,,,,,,,,,,,,,,
38,1,1,,,,,,,,,,,,,,,
42,1,0,b,0,0,0,1,0,2,1,0,1,0,0,0,0,1
46,1,0,w,0,0,0,0,0,1,0,0,1,1,1,0,0,1
50,1,1,,,,,,,,,,,,,,,
54,1,1,m,0,0,0,0,0,2,0,0,1,0,0,0,0,1
58,1,0,w,0,0,0,0,0,2,1,1,1,0,0,0,0,1
62,1,0,b,0,0,0,0,1,2,0,0,1,0,0,0,0,1
66,1,0,w,0,0,0,0,1,2,0,1,1,1,0,0,0,1
70,1,0,l,0,0,0,0,0,1,0,1,1,0,0,0,0,1
74,0,,,,,,,,,,,,,,,,
78,1,,b,0,0,0,0,0,1,0,0,0,0,0,0,0,1
82,1,,w,0,0,0,0,0,2,1,1,1,0,0,0,0,1
86,1,0,l,0,0,0,0,0,1,0,0,0,0,0,0,1,0
90,1,0,a,0,0,0,0,0,2,0,0,0,0,1,0,0,1
94,1,0,a,0,0,0,0,0,1,0,1,1,0,0,0,0,1
98,1,1,,,,,,,,,,,,,,,
102,1,1,,,,,,,,,,,,,,,
106,1,0,a,0,0,0,1,1,1,0,0,1,0,0,0,1,1
110,1,0,w,0,0,0,0,0,2,0,0,1,0,0,0,0,1
114,1,1,,,,,,,,,,,,,,,
118,1,0,w,0,1,0,0,0,2,0,0,1,1,1,0,0,0
122,1,0,b,0,0,0,0,0,1,0,0,0,0,0,0,0,1
126,1,0,b,0,0,0,0,0,2,0,0,0,0,0,0,1,1
130,1,0,w,1,0,0,0,0,3,0,0,1,1,0,0,0,0
134,,,,,,,,,,,,,,,,,0
138,1,0,m,0,0,0,0,0,2,1,1,1,0,0,0,0,1
142,1,0,w,0,0,0,0,0,3,1,0,1,0,0,0,0,1
146,1,0,o,0,1,0,0,0,2,0,0,0,0,0,0,0,1
150,,1,,,,,,,,,,,,,,,
154,1,0,l,0,0,0,0,0,2,0,1,1,0,0,0,1,1
158,1,0,b,0,0,0,0,0,3,0,1,1,0,0,0,0,0
162,1,0,l,1,0,0,0,0,2,0,0,1,0,0,0,0,1
166,1,0,w,0,0,0,0,0,2,0,0,1,1,1,0,1,1
170,1,0,b,0,0,0,0,0,2,0,0,0,0,0,1,1,1
174,1,0,w,0,0,0,0,0,2,0,0,1,0,0,0,0,1
178,1,0,b,0,0,0,0,1,3,1,0,1,0,0,0,1,1
182,1,0,l,0,0,0,0,0,2,0,1,1,0,0,0,0,1
186,1,0,a,0,0,0,0,1,2,0,0,1,0,0,0,1,1
190,0,,,,,,,,,,,,,,,,
194,1,0,a,0,0,0,0,0,2,0,0,1,0,0,0,0,1
198,1,0,a,0,0,0,0,0,2,0,0,1,0,0,0,1,1
202,1,0,b,0,0,0,0,0,3,1,0,1,0,0,0,0,1
206,1,0,b,0,0,0,0,0,2,0,0,0,0,1,0,0,1
210,1,0,b,0,0,0,1,0,3,0,1,0,0,0,0,0,0
214,1,0,a,0,0,0,0,1,3,0,0,1,0,0,0,0,1
218,1,0,w,0,0,0,0,0,1,0,0,1,1,0,0,0,1
222,1,0,b,0,0,0,0,0,2,0,1,1,0,1,0,0,1
226,,1,,,,,,,,,,,,,,,
230,1,0,w,0,0,0,0,0,2,0,0,1,1,0,0,0,1
234,1,0,w,0,0,0,0,1,2,0,1,1,0,0,0,0,1
238,1,0,b,0,0,0,0,0,3,1,1,0,0,0,0,0,1
242,1,0,w,0,0,0,0,0,2,0,0,0,0,0,0,0,1
246,1,0,w,0,0,0,0,0,2,0,0,1,0,0,0,0,1
250,1,0,w,0,0,0,0,0,2,0,0,1,0,0,0,0,1
254,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,,,
466,,,,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,,
482,,,,,,,,,,,,,,,,,
486,,,,,,,,,,,,,,,,,
490,,,,,,,,,,,,,,,,,
494,,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,
502,,,,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,,
514,,,,,,,,,,,,,,,,,
518,,,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,,,
526,,,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,,,
534,,,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,
542,,,,,,,,,,,,,,,,,
546,,,,,,,,,,,,,,,,,
550,,,,,,,,,,,,,,,,,
554,,,,,,,,,,,,,,,,,
558,,,,,,,,,,,,,,,,,
562,,,,,,,,,,,,,,,,,
566,,,,,,,,,,,,,,,,,
570,,,,,,,,,,,,,,,,,
574,,,,,,,,,,,,,,,,,
578,,,,,,,,,,,,,,,,,
582,,,,,,,,,,,,,,,,,
586,,,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,
594,,,,,,,,,,,,,,,,,
598,,,,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,,,,
606,,,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,
614,,,,,,,,,,,,,,,,,
618,,,,,,,,,,,,,,,,,
622,,,,,,,,,,,,,,,,,
626,,,,,,,,,,,,,,,,,
630,,,,,,,,,,,,,,,,,
634,,,,,,,,,,,,,,,,,
638,,,,,,,,,,,,,,,,,
642,,,,,,,,,,,,,,,,,
646,,,,,,,,,,,,,,,,,
650,,,,,,,,,,,,,,,,,
654,,,,,,,,,,,,,,,,,
658,,,,,,,,,,,,,,,,,
662,,,,,,,,,,,,,,,,,
666,,,,,,,,,,,,,,,,,
670,,,,,,,,,,,,,,,,,
674,,,,,,,,,,,,,,,,,
678,,,,,,,,,,,,,,,,,
